# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	1605
#@/user_id	MatebookE
a 	啊	c=25 d=4.60339 t=1599
ai 	爱	c=2 d=1.98511 t=1331
an shi 	暗示	c=1 d=1 t=1027
ba 	吧	c=14 d=3.85382 t=1580
ba 	把	c=4 d=1.07954 t=1451
ba gu wen 	八股文	c=2 d=1.12745 t=1309
ba nian ji 	八年级	c=1 d=1 t=469
ba shi qing 	把事情	c=1 d=1 t=956
bai he 	百合	c=1 d=1 t=206
ban 	版	c=1 d=1 t=158
ban ben 	版本	c=1 d=1 t=151
ban fa 	办法	c=1 d=1 t=963
ban quan 	版权	c=1 d=1 t=945
ban yun 	搬运	c=1 d=1 t=924
ban zhang 	班长	c=1 d=1 t=1541
bao 	报	c=1 d=1 t=1128
bao li 	保利	c=1 d=1 t=317
bao qian bao qian 	抱歉抱歉	c=1 d=1 t=1401
bei 	呗	c=2 d=1.0602 t=1353
bei 	被	c=1 d=1 t=1520
bei zhua 	被抓	c=1 d=1 t=765
bei zi 	杯子	c=1 d=1 t=1340
ben lai 	本来	c=2 d=1.96561 t=1383
bi 	比	c=1 d=0.423033 t=674
bi jiao 	比较	c=2 d=1.89583 t=338
bi jing 	毕竟	c=1 d=1 t=374
bi ka 	哔咔	c=1 d=1 t=116
bi ru 	比如	c=5 d=1.56424 t=1273
bi ta 	比他	c=2 d=1.92774 t=465
bi wei xin 	比微信	c=1 d=1 t=675
bi wo 	比我	c=1 d=1 t=455
bian liang 	变量	c=1 d=1 t=1375
bian tai 	变态	c=1 d=1 t=215
bian wai 	编外	c=1 d=1 t=548
bian yi 	编译	c=1 d=1 t=150
bie a 	别啊	c=1 d=1 t=608
bie ren 	别人	c=2 d=1.6157 t=910
bie shu 	别墅	c=1 d=1 t=1160
bing jiao 	病娇	c=2 d=1.17033 t=1406
bu 	不	c=1 d=1 t=169
bu an quan 	不安全	c=1 d=1 t=391
bu ci ji 	不刺激	c=1 d=1 t=840
bu cuo 	不错	c=1 d=1 t=444
bu gao 	不高	c=1 d=1 t=1116
bu gui 	不归	c=1 d=1 t=1083
bu guo 	不过	c=3 d=1.09532 t=1312
bu hui 	不回	c=1 d=1 t=1491
bu jian kang 	不健康	c=1 d=1 t=1032
bu jian yi 	不建议	c=1 d=1 t=136
bu liao 	不了	c=0 d=0.102423 t=1470
bu mai 	不买	c=1 d=1 t=1159
bu neng 	不能	c=1 d=1 t=714
bu neng yong 	不能用	c=2 d=1.44486 t=731
bu que ding 	不确定	c=1 d=1 t=369
bu rang 	不让	c=1 d=1 t=396
bu rang wo 	不让我	c=1 d=1 t=384
bu ren shi 	不认识	c=1 d=1 t=1488
bu ru 	不如	c=3 d=1.60532 t=745
bu shao 	不少	c=1 d=1 t=503
bu shi 	不是	c=6 d=1.5368 t=1271
bu shuo hua 	不说话	c=2 d=1.99501 t=989
bu tai li jie 	不太理解	c=1 d=1 t=1349
bu ting 	不听	c=1 d=1 t=1008
bu xi huan 	不喜欢	c=1 d=1 t=199
bu xiang 	不想	c=2 d=1.18731 t=1514
bu xiang rang 	不想让	c=1 d=1 t=528
bu xin 	不信	c=1 d=1 t=1010
bu xing 	不行	c=1 d=1 t=449
bu xing 	步行	c=1 d=1 t=325
bu yao 	不要	c=3 d=1.18648 t=1028
bu ye 	不也	c=1 d=1 t=673
bu yi yang 	不一样	c=1 d=1 t=343
bu ying gai 	不应该	c=1 d=1 t=1572
bu zai hu 	不在乎	c=1 d=1 t=1140
bu zen me 	不怎么	c=1 d=1 t=515
bu zheng jing 	不正经	c=2 d=1.90484 t=1485
bu zhi dao 	不知道	c=3 d=1.66968 t=861
cao 	艹	c=1 d=1 t=1424
cao 	草	c=1 d=1 t=664
cao mei 	草莓	c=2 d=1.99501 t=890
ce 	测	c=0 d=0.1 t=1236
ce de le 	测得了	c=2 d=1.92774 t=1252
ce suo 	厕所	c=1 d=1 t=247
cha bu duo 	差不多	c=1 d=1 t=643
cha jian 	插件	c=2 d=1.19301 t=593
chai 	拆	c=0 d=0.1 t=1448
chai ni jia 	拆你家	c=1 d=1 t=1449
chan cun 	产存	c=1 d=1 t=538
chang de 	长的	c=1 d=1 t=978
chang le 	长了	c=1 d=1 t=974
chao ji 	超级	c=1 d=1 t=1090
chao le 	吵了	c=1 d=1 t=527
che 	车	c=1 d=1 t=422
che lie 	车裂	c=2 d=1.99501 t=1551
che men 	车门	c=1 d=1 t=423
che shang 	车上	c=1 d=1 t=1422
cheng 	成	c=1 d=1 t=1182
cheng du shang 	程度上	c=1 d=1 t=1056
cheng ji 	成绩	c=2 d=1.04056 t=1111
cheng nian 	成年	c=1 d=1 t=965
cheng yuan 	成员	c=1 d=1 t=549
cheng zi 	橙子	c=1 d=1 t=892
chi fan 	吃饭	c=1 d=1 t=1277
chong wen 	重温	c=1 d=1 t=1000
chong yun 	冲晕	c=1 d=1 t=131
chou 	丑	c=1 d=1 t=297
